"folder";"min_modified";"max_modified";"min_accessed";"max_accessed";"files"
"/workspaces/simulation_management/VSM/VSM/Components";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'Routes.razor'>, <DirEntry '_Imports.razor'>, <DirEntry 'App.razor'>]"
"/workspaces/simulation_management/VSM/VSM/wwwroot";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'app.css'>, <DirEntry 'favicon.png'>]"
"/workspaces/simulation_management/VSM/VSM/Properties";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'launchSettings.json'>]"
"/workspaces/simulation_management/VSM/VSM/obj";"2025-08-20";"2025-09-11";"2025-09-11";"2025-10-27";"[<DirEntry 'VSM.csproj.nuget.dgspec.json'>, <DirEntry 'project.assets.json'>, <DirEntry 'project.nuget.cache'>, <DirEntry 'VSM.csproj.nuget.g.targets'>, <DirEntry 'VSM.csproj.nuget.g.props'>]"
"/workspaces/simulation_management/VSM/razor_backup/Pages";"2025-07-30";"2025-09-08";"2025-10-27";"2025-10-27";"[<DirEntry 'Retention.back_razor'>, <DirEntry 'Retention.razor.back_css'>]"
"/workspaces/simulation_management/VSM/server/.pytest_cache";"2025-08-11";"2025-08-11";"2025-08-25";"2025-10-27";"[<DirEntry 'README.md'>, <DirEntry '.gitignore'>, <DirEntry 'CACHEDIR.TAG'>]"
"/workspaces/simulation_management/VSM/server/cleanup_cycle";"2025-10-23";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry '__init__.py'>, <DirEntry 'cleanup_db_actions.py'>, <DirEntry 'on_premise_scan_agents.py'>, <DirEntry 'cleanup_dtos.py'>, <DirEntry 'internal_agents.py'>, <DirEntry 'cleanup_scheduler.py'>]"
"/workspaces/simulation_management/VSM/server/datamodel";"2025-09-22";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'vts_create_meta_data.py'>, <DirEntry '__init__.py'>, <DirEntry 'retention_validators.py'>, <DirEntry 'dtos.py'>]"
"/workspaces/simulation_management/VSM/server/db";"2025-09-29";"2025-10-24";"2025-10-27";"2025-10-27";"[<DirEntry '__init__.py'>, <DirEntry 'db_api.py'>, <DirEntry 'database.py'>]"
"/workspaces/simulation_management/VSM/server/app";"2025-09-19";"2025-10-24";"2025-10-27";"2025-10-27";"[<DirEntry 'app_config.py'>, <DirEntry '__init__.py'>, <DirEntry 'web_server_retention_api.md'>, <DirEntry 'web_api.py'>, <DirEntry 'web_server_retention_api.py'>]"
"/workspaces/simulation_management/VSM/server/testdata";"2025-08-12";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'vts_generate_test_data.py'>, <DirEntry '__init__.py'>]"
"/workspaces/simulation_management/VSM/server/tests";"2025-08-11";"2025-10-24";"2025-10-27";"2025-10-27";"[<DirEntry '__init__.py'>, <DirEntry 'conftest.py'>]"
"/workspaces/simulation_management/VSM/server/.venv";"2025-08-14";"2025-08-14";"2025-10-27";"2025-10-27";"[<DirEntry 'pyvenv.cfg'>]"
"/workspaces/simulation_management/VSM/server/.vscode";"2025-08-11";"2025-08-18";"2025-10-27";"2025-10-27";"[<DirEntry 'launch.json'>, <DirEntry 'README.md'>, <DirEntry 'tasks.json'>, <DirEntry 'settings.json'>]"
"/workspaces/simulation_management/VSM/.venv/bin";"2025-09-12";"2025-09-12";"2025-09-12";"2025-10-27";"[<DirEntry 'pyftmerge'>, <DirEntry 'ipython3'>, <DirEntry 'py.test'>, <DirEntry 'normalizer'>, <DirEntry 'jlpm'>, <DirEntry 'pygmentize'>, <DirEntry 'ipython'>, <DirEntry 'pip3.11'>, <DirEntry 'send2trash'>, <DirEntry 'jsonschema'>, <DirEntry 'jupyter-nbconvert'>, <DirEntry 'jupyter-console'>, <DirEntry 'uvicorn'>, <DirEntry 'jupyter-events'>, <DirEntry 'jupyter-labhub'>, <DirEntry 'debugpy-adapter'>, <DirEntry 'coverage3'>, <DirEntry 'fonttools'>, <DirEntry 'jupyter'>, <DirEntry 'jupyter-dejavu'>, <DirEntry 'jupyter-execute'>, <DirEntry 'jsonpointer'>, <DirEntry 'pip'>, <DirEntry 'activate.csh'>, <DirEntry 'coverage-3.11'>, <DirEntry 'jupyter-run'>, <DirEntry 'f2py'>, <DirEntry 'jupyter-kernel'>, <DirEntry 'pytest'>, <DirEntry 'activate.fish'>, <DirEntry 'fastapi'>, <DirEntry 'ttx'>, <DirEntry 'pybabel'>, <DirEntry 'pyftsubset'>, <DirEntry 'jupyter-kernelspec'>, <DirEntry 'debugpy'>, <DirEntry 'Activate.ps1'>, <DirEntry 'numpy-config'>, <DirEntry 'jupyter-troubleshoot'>, <DirEntry 'jupyter-trust'>, <DirEntry 'pyjson5'>, <DirEntry 'jupyter-migrate'>, <DirEntry 'wsdump'>, <DirEntry 'jupyter-notebook'>, <DirEntry 'activate'>, <DirEntry 'jupyter-lab'>, <DirEntry 'pip3'>, <DirEntry 'jupyter-labextension'>, <DirEntry 'jupyter-server'>, <DirEntry 'coverage'>, <DirEntry 'httpx'>]"
"/workspaces/simulation_management/VSM/output/_Temp/VSM";"2025-10-27";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry '2025-10-27 14-39 - scan_errors.csv'>, <DirEntry '2025-10-27 14-39 - scan_results.csv'>]"
"/workspaces/simulation_management/VSM/VSM.Client/wwwroot/sample-data";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'weather.json'>]"
"/workspaces/simulation_management/VSM/VSM.Client/wwwroot/css";"2025-08-19";"2025-08-19";"2025-10-27";"2025-10-27";"[<DirEntry 'app.css'>]"
"/workspaces/simulation_management/VSM/VSM/Components/Pages";"2025-08-19";"2025-08-29";"2025-10-27";"2025-10-27";"[<DirEntry 'Home.razor'>, <DirEntry 'Error.razor'>]"
"/workspaces/simulation_management/VSM/VSM/Components/Layout";"2025-08-19";"2025-09-08";"2025-10-27";"2025-10-27";"[<DirEntry 'MainLayout.razor'>, <DirEntry 'MainLayout.razor.css'>, <DirEntry 'NavMenu.razor'>, <DirEntry 'NavMenu.razor.css'>]"
"/workspaces/simulation_management/VSM/server/cleanup_cycle/scan";"2025-10-27";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'scanner.py'>, <DirEntry 'file_owner.py'>, <DirEntry 'ProgressWriter.py'>, <DirEntry 'scan.py'>, <DirEntry 'RobustIO.py'>]"
"/workspaces/simulation_management/VSM/server/cleanup_cycle/__pycache__";"2025-10-23";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry '__init__.cpython-311.pyc'>, <DirEntry 'internal_agents.cpython-311.pyc'>, <DirEntry 'cleanup_db_actions.cpython-311.pyc'>, <DirEntry 'cleanup_dtos.cpython-311.pyc'>, <DirEntry 'cleanup_scheduler.cpython-311.pyc'>, <DirEntry 'on_premise_scan_agents.cpython-311.pyc'>]"
"/workspaces/simulation_management/VSM/server/cleanup_cycle/clean";"2025-10-27";"2025-10-27";"2025-10-27";"2025-10-27";"[<DirEntry 'main.py'>, <DirEntry 'argument_parser.py'>, <DirEntry 'worker_pool.py'>, <DirEntry 'processing.py'>, <DirEntry 'config.py'>, <DirEntry '00-README_high_level_requirements.md'>, <DirEntry 'logging_module.py'>, <DirEntry '05-instructions_on_how_to_run.md'>, <DirEntry 'progress.py'>, <DirEntry 'shared_state.py'>]"
"/workspaces/simulation_management/VSM/server/datamodel/__pycache__";"2025-08-12";"2025-10-27";"2025-08-25";"2025-10-27";"[<DirEntry 'DTOs.cpython-311.pyc'>, <DirEntry 'db.cpython-311.pyc'>, <DirEntry '__init__.cpython-311.pyc'>, <DirEntry 'cleanup_dtos.cpython-311.pyc'>, <DirEntry 'retention_validators.cpython-311.pyc'>, <DirEntry 'vts_create_meta_data.cpython-311.pyc'>, <DirEntry 'dtos.cpython-311.pyc'>]"
"/workspaces/simulation_management/VSM/server/db/__pycache__";"2025-09-29";"2025-10-24";"2025-10-22";"2025-10-27";"[<DirEntry 'db_api.cpython-311.pyc'>, <DirEntry '__init__.cpython-311.pyc'>, <DirEntry 'cleanup_cycle_actions.cpython-311.pyc'>, <DirEntry 'cleanup_cycle.cpython-311.pyc'>, <DirEntry 'database.cpython-311.pyc'>]"
"/workspaces/simulation_management/VSM/server/app/__pycache__";"2025-09-22";"2025-10-27";"2025-09-26";"2025-10-27";"[<DirEntry '__init__.cpython-311.pyc'>, <DirEntry 'web_api.cpython-311.pyc'>, <DirEntry 'config.cpython-311.pyc'>, <DirEntry 'web_server_retention_api.cpython-311.pyc'>, <DirEntry 'app_config.cpython-311.pyc'>]"
"/workspaces/simulation_management/VSM/server/testdata/__pycache__";"2025-08-12";"2025-10-27";"2025-09-12";"2025-10-27";"[<DirEntry '__init__.cpython-311.pyc'>, <DirEntry 'vts_generate_test_data.cpython-311.pyc'>, <DirEntry 'generate_test_data.cpython-311.pyc'>, <DirEntry 'vts_create_meta_data.cpython-311.pyc'>]"
"/workspaces/simulation_management/VSM/server/tests/unittests";"2025-09-29";"2025-09-29";"2025-10-27";"2025-10-27";"[<DirEntry '__init__.py'>]"
"/workspaces/simulation_management/VSM/server/tests/__pycache__";"2025-08-11";"2025-10-24";"2025-10-16";"2025-10-27";"[<DirEntry 'conftest.cpython-311-pytest-8.4.1.pyc'>, <DirEntry '__init__.cpython-311.pyc'>, <DirEntry 'conftest.cpython-311.pyc'>, <DirEntry 'conftest.cpython-311-pytest-8.4.2.pyc'>]"
"/workspaces/simulation_management/VSM/server/tests/integration";"2025-09-29";"2025-10-24";"2025-10-27";"2025-10-27";"[<DirEntry '__init__.py'>, <DirEntry 'testdata_for_import.py'>, <DirEntry 'test_cleanup_workflows.py'>, <DirEntry 'base_integration_test.py'>]"
"/workspaces/simulation_management/VSM/server/.venv/bin";"2025-08-14";"2025-10-27";"2025-08-25";"2025-10-27";"[<DirEntry 'py.test'>, <DirEntry 'pygmentize'>, <DirEntry 'pip3.11'>, <DirEntry 'uvicorn'>, <DirEntry 'coverage3'>, <DirEntry 'pip'>, <DirEntry 'activate.csh'>, <DirEntry 'coverage-3.11'>, <DirEntry 'f2py'>, <DirEntry 'pytest'>, <DirEntry 'activate.fish'>, <DirEntry 'fastapi'>, <DirEntry 'Activate.ps1'>, <DirEntry 'numpy-config'>, <DirEntry 'activate'>, <DirEntry 'pip3'>, <DirEntry 'coverage'>, <DirEntry 'httpx'>]"
"/workspaces/simulation_management/VSM/.venv/share/applications";"2025-09-12";"2025-09-12";"2025-09-12";"2025-09-12";"[<DirEntry 'jupyter-notebook.desktop'>, <DirEntry 'jupyterlab.desktop'>]"
"/workspaces/simulation_management/VSM/VSM.Client/bin/Debug/net9.0";"2024-09-16";"2025-10-27";"2025-09-25";"2025-10-27";"[<DirEntry 'System.Private.Uri.dll'>, <DirEntry 'System.IO.FileSystem.DriveInfo.dll'>, <DirEntry 'System.Xml.XPath.dll'>, <DirEntry 'VSM.Client.dll'>, <DirEntry 'System.Linq.Queryable.dll'>, <DirEntry 'System.Formats.Tar.dll'>, <DirEntry 'System.Globalization.dll'>, <DirEntry 'dotnet.runtime.js.map'>, <DirEntry 'Microsoft.Extensions.Options.ConfigurationExtensions.dll'>, <DirEntry 'System.Runtime.Serialization.Json.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Icons.Regular.dll'>, <DirEntry 'System.Text.Encodings.Web.dll'>, <DirEntry 'System.Drawing.Primitives.dll'>, <DirEntry 'System.Runtime.CompilerServices.Unsafe.dll'>, <DirEntry 'VSM.Client.staticwebassets.runtime.json'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.SmileysEmotion.dll'>, <DirEntry 'System.IO.MemoryMappedFiles.dll'>, <DirEntry 'System.ComponentModel.TypeConverter.dll'>, <DirEntry 'System.Collections.Specialized.dll'>, <DirEntry 'System.Security.Claims.dll'>, <DirEntry 'System.Security.Cryptography.Csp.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Icons.Filled.dll'>, <DirEntry 'System.Text.RegularExpressions.dll'>, <DirEntry 'System.Transactions.dll'>, <DirEntry 'System.Runtime.Serialization.dll'>, <DirEntry 'System.Security.dll'>, <DirEntry 'System.Net.Http.Json.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.Flags.dll'>, <DirEntry 'Microsoft.Extensions.DependencyInjection.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.PeopleBody.dll'>, <DirEntry 'Microsoft.AspNetCore.Components.QuickGrid.dll'>, <DirEntry 'Microsoft.Extensions.Hosting.Abstractions.dll'>, <DirEntry 'System.ComponentModel.dll'>, <DirEntry 'System.IO.UnmanagedMemoryStream.dll'>, <DirEntry 'System.Configuration.dll'>, <DirEntry 'System.Threading.Tasks.Extensions.dll'>, <DirEntry 'System.Net.Security.dll'>, <DirEntry 'System.Reflection.Primitives.dll'>, <DirEntry 'System.Threading.ThreadPool.dll'>, <DirEntry 'Microsoft.Win32.Registry.dll'>, <DirEntry 'System.Diagnostics.Tools.dll'>, <DirEntry 'System.Runtime.dll'>, <DirEntry 'System.Net.NetworkInformation.dll'>, <DirEntry 'System.Net.Ping.dll'>, <DirEntry 'System.Xml.Serialization.dll'>, <DirEntry 'System.Net.dll'>, <DirEntry 'Microsoft.Extensions.Configuration.FileExtensions.dll'>, <DirEntry 'Microsoft.AspNetCore.Components.WebAssembly.dll'>, <DirEntry 'System.IO.Pipes.dll'>, <DirEntry 'System.Runtime.InteropServices.dll'>, <DirEntry 'System.Text.Json.dll'>, <DirEntry 'Microsoft.Extensions.Configuration.dll'>, <DirEntry 'dotnet.native.wasm'>, <DirEntry 'System.Runtime.Numerics.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.TravelPlaces.dll'>, <DirEntry 'System.ComponentModel.DataAnnotations.dll'>, <DirEntry 'System.Private.DataContractSerialization.dll'>, <DirEntry 'dotnet.native.js'>, <DirEntry 'System.IO.FileSystem.dll'>, <DirEntry 'System.Net.Http.dll'>, <DirEntry 'Microsoft.AspNetCore.Metadata.dll'>, <DirEntry 'System.Diagnostics.Tracing.dll'>, <DirEntry 'System.Data.Common.dll'>, <DirEntry 'dotnet.runtime.js'>, <DirEntry 'System.Net.NameResolution.dll'>, <DirEntry 'System.Text.Encoding.dll'>, <DirEntry 'System.Transactions.Local.dll'>, <DirEntry 'System.Reflection.Emit.dll'>, <DirEntry 'System.Security.Cryptography.Primitives.dll'>, <DirEntry 'dotnet.js'>, <DirEntry 'System.Net.Primitives.dll'>, <DirEntry 'Microsoft.Extensions.FileProviders.Physical.dll'>, <DirEntry 'System.Text.Encoding.CodePages.dll'>, <DirEntry 'System.Security.SecureString.dll'>, <DirEntry 'System.ServiceProcess.dll'>, <DirEntry 'System.Console.dll'>, <DirEntry 'System.IO.Pipelines.dll'>, <DirEntry 'Microsoft.Extensions.FileProviders.Abstractions.dll'>, <DirEntry 'Microsoft.AspNetCore.Components.Web.dll'>, <DirEntry 'System.ObjectModel.dll'>, <DirEntry 'mscorlib.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.Objects.dll'>, <DirEntry 'Microsoft.AspNetCore.Authorization.dll'>, <DirEntry 'System.Security.Principal.Windows.dll'>, <DirEntry 'Microsoft.Extensions.DependencyInjection.Abstractions.dll'>, <DirEntry 'System.Net.WebSockets.dll'>, <DirEntry 'Microsoft.Extensions.Diagnostics.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Icons.Color.dll'>, <DirEntry 'Microsoft.Extensions.Primitives.dll'>, <DirEntry 'Microsoft.Extensions.Configuration.Abstractions.dll'>, <DirEntry 'System.Collections.Concurrent.dll'>, <DirEntry 'System.Runtime.Handles.dll'>, <DirEntry 'System.Xml.Linq.dll'>, <DirEntry 'System.Runtime.Serialization.Primitives.dll'>, <DirEntry 'System.Security.Cryptography.Cng.dll'>, <DirEntry 'System.IO.IsolatedStorage.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.FoodDrink.dll'>, <DirEntry 'System.Globalization.Calendars.dll'>, <DirEntry 'Microsoft.Extensions.Diagnostics.Abstractions.dll'>, <DirEntry 'System.IO.Compression.ZipFile.dll'>, <DirEntry 'System.Xml.XmlDocument.dll'>, <DirEntry 'System.ComponentModel.Annotations.dll'>, <DirEntry 'Microsoft.Extensions.Configuration.Binder.dll'>, <DirEntry 'System.Numerics.Vectors.dll'>, <DirEntry 'System.Net.Quic.dll'>, <DirEntry 'System.Runtime.Serialization.Xml.dll'>, <DirEntry 'System.Linq.dll'>, <DirEntry 'System.Formats.Asn1.dll'>, <DirEntry 'System.IO.Compression.dll'>, <DirEntry 'Microsoft.Extensions.Logging.Abstractions.dll'>, <DirEntry 'System.Diagnostics.Debug.dll'>, <DirEntry 'System.IO.Pipes.AccessControl.dll'>, <DirEntry 'System.Linq.Parallel.dll'>, <DirEntry 'System.Diagnostics.Contracts.dll'>, <DirEntry 'System.IO.dll'>, <DirEntry 'dotnet.js.map'>, <DirEntry 'System.Threading.Thread.dll'>, <DirEntry 'System.Runtime.Intrinsics.dll'>, <DirEntry 'System.Reflection.Metadata.dll'>, <DirEntry 'System.Xml.XDocument.dll'>, <DirEntry 'System.Threading.Timer.dll'>, <DirEntry 'System.Collections.dll'>, <DirEntry 'System.Runtime.Extensions.dll'>, <DirEntry 'System.Threading.dll'>, <DirEntry 'Microsoft.Extensions.Http.dll'>, <DirEntry 'System.Drawing.dll'>, <DirEntry 'System.Data.DataSetExtensions.dll'>, <DirEntry 'System.Dynamic.Runtime.dll'>, <DirEntry 'icudt_EFIGS.dat'>, <DirEntry 'Microsoft.VisualBasic.Core.dll'>, <DirEntry 'System.Web.dll'>, <DirEntry 'System.Diagnostics.TextWriterTraceListener.dll'>, <DirEntry 'System.IO.FileSystem.Primitives.dll'>, <DirEntry 'System.Memory.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Icons.dll'>, <DirEntry 'System.ServiceModel.Web.dll'>, <DirEntry 'System.Text.Encoding.Extensions.dll'>, <DirEntry 'System.Diagnostics.FileVersionInfo.dll'>, <DirEntry 'Microsoft.Extensions.FileSystemGlobbing.dll'>, <DirEntry 'System.Security.Cryptography.OpenSsl.dll'>, <DirEntry 'System.Threading.Tasks.Dataflow.dll'>, <DirEntry 'Microsoft.Extensions.Options.dll'>, <DirEntry 'System.Reflection.TypeExtensions.dll'>, <DirEntry 'System.Runtime.CompilerServices.VisualC.dll'>, <DirEntry 'System.Net.WebProxy.dll'>, <DirEntry 'System.Xml.XPath.XDocument.dll'>, <DirEntry 'System.Security.Principal.dll'>, <DirEntry 'System.Reflection.Emit.Lightweight.dll'>, <DirEntry 'System.Threading.Overlapped.dll'>, <DirEntry 'System.Security.Cryptography.Algorithms.dll'>, <DirEntry 'System.Reflection.Emit.ILGeneration.dll'>, <DirEntry 'System.Net.Sockets.dll'>, <DirEntry 'System.Xml.dll'>, <DirEntry 'Microsoft.JSInterop.dll'>, <DirEntry 'System.Threading.Tasks.Parallel.dll'>, <DirEntry 'System.Diagnostics.StackTrace.dll'>, <DirEntry 'System.Diagnostics.TraceSource.dll'>, <DirEntry 'System.Linq.Expressions.dll'>, <DirEntry 'Microsoft.Extensions.Configuration.Json.dll'>, <DirEntry 'System.Collections.Immutable.dll'>, <DirEntry 'System.Globalization.Extensions.dll'>, <DirEntry 'System.Net.Mail.dll'>, <DirEntry 'System.Private.Xml.dll'>, <DirEntry 'Microsoft.VisualBasic.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Icons.Light.dll'>, <DirEntry 'System.Net.WebSockets.Client.dll'>, <DirEntry 'VSM.Client.pdb'>, <DirEntry 'System.ComponentModel.EventBasedAsync.dll'>, <DirEntry 'WindowsBase.dll'>, <DirEntry 'System.Resources.Writer.dll'>, <DirEntry 'System.Private.Xml.Linq.dll'>, <DirEntry 'System.Net.WebHeaderCollection.dll'>, <DirEntry 'System.Threading.Tasks.dll'>, <DirEntry 'icudt_no_CJK.dat'>, <DirEntry 'Microsoft.JSInterop.WebAssembly.dll'>, <DirEntry 'System.Security.Cryptography.dll'>, <DirEntry 'System.Diagnostics.Process.dll'>, <DirEntry 'System.Net.Requests.dll'>, <DirEntry 'System.Numerics.dll'>, <DirEntry 'System.Reflection.dll'>, <DirEntry 'System.Threading.Channels.dll'>, <DirEntry 'System.Collections.NonGeneric.dll'>, <DirEntry 'System.Net.HttpListener.dll'>, <DirEntry 'Microsoft.AspNetCore.Components.Forms.dll'>, <DirEntry 'Microsoft.Win32.Primitives.dll'>, <DirEntry 'System.Security.Cryptography.X509Certificates.dll'>, <DirEntry 'System.Xml.XmlSerializer.dll'>, <DirEntry 'System.IO.Compression.FileSystem.dll'>, <DirEntry 'System.Diagnostics.DiagnosticSource.dll'>, <DirEntry 'System.Data.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.Symbols.dll'>, <DirEntry 'System.Runtime.InteropServices.RuntimeInformation.dll'>, <DirEntry 'System.Private.CoreLib.dll'>, <DirEntry 'System.Reflection.DispatchProxy.dll'>, <DirEntry 'System.Net.WebClient.dll'>, <DirEntry 'Microsoft.Extensions.Logging.dll'>, <DirEntry 'System.Runtime.Serialization.Formatters.dll'>, <DirEntry 'VSM.Client.staticwebassets.endpoints.json'>, <DirEntry 'System.Xml.ReaderWriter.dll'>, <DirEntry 'System.dll'>, <DirEntry 'System.Runtime.InteropServices.JavaScript.dll'>, <DirEntry 'System.Runtime.Loader.dll'>, <DirEntry 'System.Web.HttpUtility.dll'>, <DirEntry 'System.Net.ServicePoint.dll'>, <DirEntry 'System.Resources.Reader.dll'>, <DirEntry 'System.IO.FileSystem.AccessControl.dll'>, <DirEntry 'System.Windows.dll'>, <DirEntry 'Microsoft.AspNetCore.Components.dll'>, <DirEntry 'System.IO.Compression.Brotli.dll'>, <DirEntry 'System.ComponentModel.Primitives.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.dll'>, <DirEntry 'Microsoft.CSharp.dll'>, <DirEntry 'System.AppContext.dll'>, <DirEntry 'System.Security.AccessControl.dll'>, <DirEntry 'System.Buffers.dll'>, <DirEntry 'System.Security.Cryptography.Encoding.dll'>, <DirEntry 'netstandard.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emoji.dll'>, <DirEntry 'System.IO.FileSystem.Watcher.dll'>, <DirEntry 'System.Resources.ResourceManager.dll'>, <DirEntry 'System.Reflection.Extensions.dll'>, <DirEntry 'System.Core.dll'>, <DirEntry 'System.ValueTuple.dll'>, <DirEntry 'icudt_CJK.dat'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.AnimalsNature.dll'>, <DirEntry 'Microsoft.FluentUI.AspNetCore.Components.Emojis.Activities.dll'>]"
